,Name,Location,Mealtime,Date,Filters,Description,Serving_Size,Calories,Fat,Carbohydrates,Protein,Allergens,Ingredients
332,Eggs Fried to Order,Go Live,Breakfast,"Friday, February 04, 2022","['Vegetarian', 'Halal', 'Nourish']","Consuming raw or undercooked eggs may increase risk of foodborne illness, especially for those with certain medical conditions",each,71.5,4.75,0.36,6.28,Egg,Eggs
333,Oatmeal,Fresh Inspirations,Breakfast,"Friday, February 04, 2022","['Vegan', 'Halal', 'Nourish']",Hot old-fashioned rolled oats (may contain wheat/gluten),7 oz,105.04,1.94,18.85,3.6,Gluten/Wheat,"Whole grain oats (per manufacturer, may contain wheat/gluten) cooked in water and a pinch of salt."
334,Housemade Granola,Fresh Inspirations,Breakfast,"Friday, February 04, 2022","['Vegetarian', 'Halal', 'Nourish']",Crunchy and sweet granola made with mixed nuts and old fashioned rolled oats,1/2 cup,360.18,17.33,47.13,8.03,Gluten/Wheat/Dairy/Peanuts/Tree Nuts,"Old fashioned rolled oats (per manufacturer, may contain wheat/gluten), sunflower seeds, seedless raisins, unsalted butter, pure clover honey, peanut-free mixed nuts (cashews, almonds, sunflower oil and/or cottonseed oil, pecans, hazelnuts, dried Brazil nuts, salt), light brown beet sugar, molasses"
335,Chocolate Granola,Fresh Inspirations,Breakfast,"Friday, February 04, 2022","['Vegetarian', 'Halal', 'Nourish']",,1/2 cup,345,18,41,9,"Gluten, Wheat, Dairy, Peanuts, Tree Nuts",
336,Fruit Salad,Fresh Inspirations,Breakfast,"Friday, February 04, 2022","['Vegan', 'Halal', 'Nourish']",A delicious and nutritious blend of fresh fruit!, 1/2 Cup,42.3,0.64,9.79,0.49,No Major Allergens,"Cantaloupe, pineapple, red grapes, honeydew melon"
337,Hard Boiled Eggs,Fresh Inspirations,Breakfast,"Friday, February 04, 2022","['Vegetarian', 'Halal', 'Nourish']","Cage-free, hard boiled eggs",1 each,71.5,4.76,0.36,6.28,Egg,Cage free eggs
338,Mini Sesame Bagels,Harvest Bakery,Breakfast,"Friday, February 04, 2022","['Vegan', 'Halal']","Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",1 bagel,359.99,4.5,68,12.99,Gluten/Sesame/Soybean Oil/Wheat,"Enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, brown sugar, malt (corn syrup, malt syrup), salt, enzyme (wheat flour, enzymes, ascorbic acid), yeast (yeast, sorbitan monostearate, ascorbic acid), dough improver (wheat flour, monoglycerides, ascorbic acid. Contains 2% or less of enzymes, soybean oil), vinegar, poppy seeds, sesame seeds, sunflower seeds. Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
339,Double Chocolate Muffin,Harvest Bakery,Breakfast,"Friday, February 04, 2022","['Vegetarian', 'Halal']","Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",each,440,25,53,5,Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"Sugar, enriched bleached wheat flour, cocoa, modified food starch, vegetable shortening (with soybean oil), nonfat dry milk, leavening, cornstarch, salt, artificial flavor, xanthan gum, guar gum, locust bean gum, egg whites, eggs, soybean oil, water, semisweet chocolate, soy lecithin, potassium sorbate. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
340,Maple Donut,Harvest Bakery,Breakfast,"Friday, February 04, 2022",['Vegetarian'],"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",each,290,8,53,3,Alcohol/Dairy/Egg/Gluten/Soy/Wheat,"Bleached enriched wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sugar, soybean oil, dextrose, dried whey, nonfat dry milk, dried egg yolks, leavening, salt, defatted soy flour, potato flour, mono- and diglycerides, spice, guar gum, natural and artificial flavors, yellow 5 Lake, yellow 6 Lake, water, icing, palm oil, maple extract (alcohol, sugar, maple syrup, caramel color, water). Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
341,Cinnamon Sugar Donut,Harvest Bakery,Breakfast,"Friday, February 04, 2022","['Vegan', 'Halal']","Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",each,380,21,44,4,Gluten/Soy/Soybean Oil/Wheat,"Donut ingredients: Unbleached enriched wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sugar, soybean oil, defatted soy flour, leavening, isolated soy protein, dextrose, wheat starch, alt, natural flavor, cellulose gum, emulsifier, spice, beta carotene, water, palm oil. Topping ingredients: sugar, cinnamon. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
342,Make-Your-Own Mongolian BBQ,Pacific Fusion,Lunch,"Friday, February 04, 2022",['Halal'],"Mongolian stir-fry with choice of protein, noodles and vegetables",plate,-1,-1,-1,-1,All major allergens,[Placeholder] - all major allergens;
343,New England Clam Chowder,Fresh Inspirations,Lunch,"Friday, February 04, 2022",[],House-made clam chowder with bits of bacon,1 cup,193.73,9.54,16.65,8,Soybean Oil/Dairy/Shellfish/Gluten/Wheat/Soy,"Reduced fat milk, clam juice (ocean clam juice, salt), hash brown potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], contains less than 2% of dextrose, maltodextrin, sea salt, tetrasodium pyrophosphate, disodium dihydrogen pyrophosphate), clams, heavy whipping cream, celery, unbleached hi-gluten flour, cornstarch, clam soup base (cooked clams, clam broth, salt, maltodextrin flavor [yeast extract, corn syrup solids, salt, citric acid], butter, sugar, dehydrated potato [potatoes, mono- and diglycerides, sodium acid pyrophosphate, citric acid], sodium phosphate, onion powder, disodium inonsinate, disodium guanylate, cod liver oil, flavoring), yellow onion, bacon, canola oil, Worcestershire sauce (water, molasses, salt, high fructose corn syrup, corn syrup, acetic acid, caramel color, hydrolyzed soy protein, gluten free flour [millet flour, potato starch, tapioca starch, rice flour, whole grain sorghum, xanthan gum], natural flavor, guar gum, sodium benzoate), Tabasco sauce (distilled vinegar, red pepper, salt), garlic, dill, ground black pepper, thyme, tarragon"
344,Butternut Squash Lentil Soup,Fresh Inspirations,Lunch,"Friday, February 04, 2022","['Vegan', 'Nourish']","Fresh butternut squash simmered with lentils, tomatoes, and spices",1 cup,103.22,2.46,17.97,3.7,Mushroom,"Water, Butternut Squash, Swiss Chard, Tomato, Yellow Onion, Lentil, Modified Corn Starch,  Jalapeno, Modified Food Starch (Corn), Celery, Canola/Olive Oil Blend, Sugar, Garlic, Salt, Gluten-Free Vegetable Soup Base, Jalapeno Pepper, Apple Cider Vinegar, Ground Cumin, Lemon Juice, Ground Paprika, Ground Cinnamon, Ground Coriander"
345,Tri-Color Quinoa and Kale Salad,Fresh Inspirations,Lunch,"Friday, February 04, 2022","['Vegan', 'Halal', 'Nourish']",A colorful salad made with fair trade quinoa,1/2 cup,158,9,17,4,"Peanuts, Tree Nuts",
346,New York Chicken & Walnut Waldorf Salad,Fresh Inspirations,Lunch,"Friday, February 04, 2022","['Halal', 'Nourish']","Roasted chicken, apples, grapes, celery tossed in a citrus-yogurt dressing and topped with walnuts.",1/2 cup,177.7,12.45,11.42,6.68,Alcohol [vanilla extract]/Dairy/Egg/Soybean Oil/Tree Nuts,"Apples, halal boneless skinless chicken breast, mayonnaise (soybean oil, water, corn syrup, egg yolks, distilled vinegar. Contains less than 2% of salt, mustard seed, calcium disodium EDTA), celery, red and green grapes, walnuts, vanilla yogurt (cultured pasteurized grade a low-fat milk, sugar, water, modified food starch, natural flavor, annatto extract and turmeric, carrageenan, pectin, citric acid, vanilla extract, vitamin A palmitate, vitamin D3), beet sugar, lemon juice, ground white pepper, iodized salt"
347,Classic Potato Salad,Fresh Inspirations,Lunch,"Friday, February 04, 2022","['Vegetarian', 'Halal']",,1/2 cup,230,12,28,3,"Egg, Soybean Oil",
348,Sliced Turkey Breast,Fresh Inspirations,Lunch,"Friday, February 04, 2022",['Nourish'],,3.5 oz,89,1,2,20,No Major Allergens,
349,Caesar Salad,Fresh Inspirations,Lunch,"Friday, February 04, 2022",['Halal'],"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing",1 SV,501.86,41.48,23.93,15.54,Dairy/Gluten/Soybean Oil/Tree Nuts/Wheat/Egg/Fish/Soy,"Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)"
350,Deli Bar,Fresh Inspirations,Lunch,"Friday, February 04, 2022",[],"Assorted Meats and Cheeses with your favorite spreads, breads and veggies",1 EA,-1,-1,-1,-1,,
351,Raspberry Swirl Cheese Cake Bars,Harvest Bakery,Lunch,"Friday, February 04, 2022",['Vegetarian'],"Produced in a facility that also uses wheat, dairy, eggs, tree nuts, peanuts, soybeans, and fish",1 SV,312,20.8,26.4,4,Alcohol [vanilla extract]/Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"RASPBERRY SWIRL CHEESECAKE BAR (Cream cheese [pasteurized cultured milk and cream, salt, stabilizers {xanthan and/or carob bean and/or guar gums}], pure cane sugar, eggs, sour cream [cultured cream. Contains less than 2% of whey, modified corn starch, sodium tripolyphosphate, guar gum, carrageenan, calcium sulfate, locust bean gum, potassium sorbate], vanilla extract, crumbs [graham cracker flour, enriched wheat flour {wheat flour, enriched with niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid}, sugar, corn flour, palm oil, corn syrup, molasses, whey, honey, leavening {sodium bicarbonate, sodium acid pyrophosphate, corn starch}, salt, artificial color {yellow 5 and yellow 6}, natural flavor, soy lecithin], butter [pasteurized cream, natural flavors], raspberry filling [water, high fructose corn syrup, red raspberries, sugar, modified corn starch. Contains 2% or less of citric acid, natural flavor, lemon juice, potassium sorbate, salt, FD&C red #40]. Produced in a facility that also uses wheat, dairy, eggs, tree nuts, peanuts, soybeans, and fish)"
352,Assorted Cookies,Harvest Bakery,Lunch,"Friday, February 04, 2022",['Vegetarian'],"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",1 EA,400,19,55,4,Alcohol [vanilla extract]/Dairy/Egg/Gluten/Soy/Wheat,"Enriched bleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, enzyme), chocolate (sugar, unsweetened chocolate, cocoa butter, soya lecithin), unsalted butter (pasteurized cream, salt), brown sugar, sugar, eggs, vanilla extract, salt, baking soda. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
353,Chicken Tenders,Pacific Fusion,Dinner,"Friday, February 04, 2022",[],Deep-fried until crispy and golden brown,2 pieces,369.92,24.63,16.01,19.77,*Ingredient prepared in a fryer that`s not allergen-free/Gluten/Soy/Wheat,"Breaded chicken tenders (water, seasoning [salt, spices, sugar, natural flavors, maltodextrin, celery seed, buttermilk powder], rice starch, sodium bicarbonate. Breaded, battered and pre-dusted with wheat flour, water, potato starch, salt, rice, flour, corn starch, leavening, yellow corn flour, garlic powder, spices, citric acid, onion powder, sugar, citric acid, palm oil, natural flavors, xanthan gum. Breading set in vegetable oil), canola oil"
354,Curly Fries,Pacific Fusion,Dinner,"Friday, February 04, 2022","['Vegan', 'Halal']",Crispy curly fries lightly seasoned,3 oz,204.55,13.45,17.61,1.68,*Ingredient prepared in a fryer that`s not allergen-free/Gluten/Soybean Oil/Wheat,"Curly fries (potato, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, color [paprika oleoresin, turmeric oleoresin], degermed yellow corn meal, dextrose, food starch modified, garlic powder, onion powder, reice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, seasoned salt (salt, onion powder, granulated garlic, sugar, ground white pepper, ground paprika)"
355,Teriyaki Tofu,Pacific Fusion,Dinner,"Friday, February 04, 2022","['Vegan', 'Halal']",Crispy tofu drizzled in our house lower-sodium Teriyaki sauce. Served with white rice.,4 oz,123.16,7.51,9.55,4.71,*Ingredient prepared in a fryer that`s not allergen-free/Sesame/Gluten/Soy/Wheat,"Firm tofu, house low-sodium Teriyaki sauce (less-sodium soy sauce [water, wheat, soybeans, salt, lactic acid, sodium benzoate], beet sugar, light brown beet sugar, pineapple juice [pineapple juice, vitamin C], rice vinegar, corn starch, ketchup [tomato concentrate made from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring], ginger, garlic, pure sesame oil), canola oil, corn starch, fresh Italian parsley"
356,Latin Bar,Bistro,Dinner,"Friday, February 04, 2022",[],A latin inspired bar with all items allergy friendly. Served with choice of steamed brown rice or steamed white rice,1 SV,-1,-1,-1,-1,No Major Allergens,
357,Garlic Onion Chicken,Bistro,Dinner,"Friday, February 04, 2022",['Halal'],,3.5 oz,N/A,N/A,N/A,N/A,No Major Allergens,
358,Carne Asada,Bistro,Dinner,"Friday, February 04, 2022",[],,3.5 oz,150.71,11.69,1.2,10.77,,"Beef, canola/olive oil blend, fresh cilantro, lime juice, garlic, kosher salt, ground coriander, ground black pepper, crushed red pepper flakes"
359,Mango Vinaigrette,Bistro,Dinner,"Friday, February 04, 2022","['Vegan', 'Halal', 'Nourish']",Sweet and tangy vinaigrette to complement your dish,2 tablespoons,120.23,13.03,2.31,0.11,,"Canola/olive oil blend, mango, lime juice, rice vinegar, agave nectar, kosher salt, crushed red pepper"
360,Chipotle and Agave Vinaigrette,Bistro,Dinner,"Friday, February 04, 2022","['Vegan', 'Nourish']",A sweet and spicy vinaigrette to complement your dish,2 tablespoons,145.1,15.39,2.91,0.05,,"Canola/olive oil blend, red wine vinegar, organic agave nectar, Chipotle Adobo pepper sauce (water, tomato paste, dried Chipotle peppers, distilled vinegar, corn oil. Contains 2% or less of iodized salt, corn starch, onion powder, garlic powder, spices), kosher salt, garlic, Mexican oregano, ground black pepper"
361,Tomatillo and Avocado Salsa,Bistro,Dinner,"Friday, February 04, 2022","['Vegan', 'Halal', 'Nourish']",House tomatillo & avocado salsa,2 tablespoons,48,5,2,0,No Major Allergens,
362,Cheeseburger,Tomato Street Grill,Dinner,"Friday, February 04, 2022",['Halal'],"Local Harris Ranch ground beef and mushroom patty, grilled and served on a sesame bun with melted American cheese.",burger,495.67,32.33,29.86,28.01,Dairy/Soy/Gluten/Sesame/Soybean Oil/Wheat/Mushroom,"Halal ground beef and mushroom patty (ground beef, mushrooms, expeller pressed canola oil, black pepper, salt), sesame bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds), American cheese (milk, cream, water, sodium citrate, salt, cheese culture, sorbic acid, citric acid, enzymes, soy lecithin, apo carotenal, beta carotene)"
363,Buffalo Chickpea Burger,Tomato Street Grill,Dinner,"Friday, February 04, 2022","['Vegan', 'Halal']",House-made buffalo chickpea patty on a sesame bun,1 SV,833.53,20.05,139.53,27.86,Gluten/Sesame/Soybean Oil/Wheat,"House-made buffalo chickpea patty (garbanzo beans, quinoa, carrots, Frank`s Red Hot Cayenne pepper sauce [aged Cayenne red peppers, vinegar, water, salt, garlic powder], red bell pepper, thickener [modified cornstarch, rice flour, corn oil. Made on equipment that also processes soy, wheat, and milk], Ener-G egg replacer [potato starch, tapioca flour, non-dairy calcium lactate, calcium carbonate, citric acid, carbohydrate gum], green onions, canola/olive oil blend, onion powder, garlic powder, iodized salt, Mediterranean oregano, ground white pepper), sesame hamburger bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, yeast nutrient [ammonium sulfate], dough conditioners [mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide], calcium sulfate, enzymes, calcium propionate, sesame seeds), canola/olive oil blend"
364,Curly Fries,Tomato Street Grill,Dinner,"Friday, February 04, 2022","['Vegan', 'Halal']",Crispy curly fries lightly seasoned,3 oz,204.55,13.45,17.61,1.68,*Ingredient prepared in a fryer that`s not allergen-free/Gluten/Soybean Oil/Wheat,"Curly fries (potato, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, color [paprika oleoresin, turmeric oleoresin], degermed yellow corn meal, dextrose, food starch modified, garlic powder, onion powder, reice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, seasoned salt (salt, onion powder, granulated garlic, sugar, ground white pepper, ground paprika)"
365,Ice Cream Sundae Bar,Saucey,Dinner,"Friday, February 04, 2022",['Vegetarian'],Build your own ice cream sundae with assorted toppings,N/A,N/A,N/A,N/A,N/A,All major allergens,
366,Burrito Bar,Go Live,Dinner,"Friday, February 04, 2022",[],"Build your own burrito base filled with shredded chicken, cilantro rice, pinto beans, enchilada sauce, sour cream, salsa and cheese",N/A,N/A,N/A,N/A,N/A,All major allergens,
367,Butternut Squash Lentil Soup,Fresh Inspirations,Dinner,"Friday, February 04, 2022","['Vegan', 'Nourish']","Fresh butternut squash simmered with lentils, tomatoes, and spices",1 cup,103.22,2.46,17.97,3.7,Mushroom,"Water, Butternut Squash, Swiss Chard, Tomato, Yellow Onion, Lentil, Modified Corn Starch,  Jalapeno, Modified Food Starch (Corn), Celery, Canola/Olive Oil Blend, Sugar, Garlic, Salt, Gluten-Free Vegetable Soup Base, Jalapeno Pepper, Apple Cider Vinegar, Ground Cumin, Lemon Juice, Ground Paprika, Ground Cinnamon, Ground Coriander"
368,New England Clam Chowder,Fresh Inspirations,Dinner,"Friday, February 04, 2022",[],House-made clam chowder with bits of bacon,1 cup,193.73,9.54,16.65,8,Soybean Oil/Dairy/Shellfish/Gluten/Wheat/Soy,"Reduced fat milk, clam juice (ocean clam juice, salt), hash brown potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], contains less than 2% of dextrose, maltodextrin, sea salt, tetrasodium pyrophosphate, disodium dihydrogen pyrophosphate), clams, heavy whipping cream, celery, unbleached hi-gluten flour, cornstarch, clam soup base (cooked clams, clam broth, salt, maltodextrin flavor [yeast extract, corn syrup solids, salt, citric acid], butter, sugar, dehydrated potato [potatoes, mono- and diglycerides, sodium acid pyrophosphate, citric acid], sodium phosphate, onion powder, disodium inonsinate, disodium guanylate, cod liver oil, flavoring), yellow onion, bacon, canola oil, Worcestershire sauce (water, molasses, salt, high fructose corn syrup, corn syrup, acetic acid, caramel color, hydrolyzed soy protein, gluten free flour [millet flour, potato starch, tapioca starch, rice flour, whole grain sorghum, xanthan gum], natural flavor, guar gum, sodium benzoate), Tabasco sauce (distilled vinegar, red pepper, salt), garlic, dill, ground black pepper, thyme, tarragon"
369,Tri-Color Quinoa and Kale Salad,Fresh Inspirations,Dinner,"Friday, February 04, 2022","['Vegan', 'Halal', 'Nourish']",A colorful salad made with fair trade quinoa,1/2 cup,158,9,17,4,"Peanuts, Tree Nuts",
370,New York Chicken & Walnut Waldorf Salad,Fresh Inspirations,Dinner,"Friday, February 04, 2022","['Halal', 'Nourish']","Roasted chicken, apples, grapes, celery tossed in a citrus-yogurt dressing and topped with walnuts.",1/2 cup,177.7,12.45,11.42,6.68,Alcohol [vanilla extract]/Dairy/Egg/Soybean Oil/Tree Nuts,"Apples, halal boneless skinless chicken breast, mayonnaise (soybean oil, water, corn syrup, egg yolks, distilled vinegar. Contains less than 2% of salt, mustard seed, calcium disodium EDTA), celery, red and green grapes, walnuts, vanilla yogurt (cultured pasteurized grade a low-fat milk, sugar, water, modified food starch, natural flavor, annatto extract and turmeric, carrageenan, pectin, citric acid, vanilla extract, vitamin A palmitate, vitamin D3), beet sugar, lemon juice, ground white pepper, iodized salt"
371,Caesar Salad,Fresh Inspirations,Dinner,"Friday, February 04, 2022",['Halal'],"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing",1 SV,501.86,41.48,23.93,15.54,Dairy/Gluten/Soybean Oil/Tree Nuts/Wheat/Egg/Fish/Soy,"Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)"
372,Pisto Spread,Fresh Inspirations,Dinner,"Friday, February 04, 2022","['Vegan', 'Halal', 'Nourish']","Made with tomatoes, eggplant, and bell peppers",2 Tablespoons,17.94,1.16,1.83,0.29,,"Red bell pepper, yellow onion, zucchini, eggplant, canola/olive oil blend, tomatoes, garlic, beet sugar, ground cumin, iodized salt"
373,Tomato Phesto with Walnuts,Fresh Inspirations,Dinner,"Friday, February 04, 2022","['Vegan', 'Halal']","Tangy tomato sauce featuring Russel Ranch tomatoes, complete with walnuts, jalapeno peppers, and spices.",2 Tablespoons,79.18,8.06,2.31,0.59,Tree Nuts,"Canola/olive oil blend, house-made halal roasted tomato sauce (Roma tomatoes, pear tomatoes, extra virgin olive oil, canola/olive oil blend, garlic, iodized salt, fresh basil, beet sugar), yellow onion, walnuts, sundried tomatoes, red Fresno pepper, fresh parsley, beet sugar, iodized salt"
374,Carrot Cake,Harvest Bakery,Dinner,"Friday, February 04, 2022","['Vegetarian', 'Halal']",,1 SV,414.12,19.99,54.26,4.28,Dairy/Egg/Gluten/Soy/Soybean Oil/Tree Nuts/Wheat,"Sugar, enriched bleached flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), carrots, eggs vegetable oil (soybean and palm oils), cream cheese, walnuts, crushed pineapple. Contain 2% or less of margarine, modified corn starch, high fructose corn syrup, whey, cinnamon, pecans, corn syrup, salt, leavening, mono- and diglycerides, corn starch, coco processed with alkali, natural and artificial flavors, polysorbate 60, soy lecithin, soy flour"
375,Chocolate Chip Cookie,Harvest Bakery,Dinner,"Friday, February 04, 2022",['Vegetarian'],"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",1 EA,400,19,55,4,Alcohol [vanilla extract]/Dairy/Egg/Gluten/Soy/Wheat,"Enriched bleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, enzyme), chocolate (sugar, unsweetened chocolate, cocoa butter, soya lecithin), unsalted butter (pasteurized cream, salt), brown sugar, sugar, eggs, vanilla extract, salt, baking soda. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
376,Vegan Oatmeal Raisin Cookie,Harvest Bakery,Dinner,"Friday, February 04, 2022",['Vegan'],,1 cookie,177,6.1,41,3,Alcohol [vanilla extract]/Gluten/Wheat,"Oatmeal, organic evaporated cane sugar, California raisins, unbleached wheat flour, sustainable RSPO palm oil shortening, grape juice, rice dextrins, pure vanilla extract, cinnamon, sea salt, baking soda"
377,Build Your Own Omelet,Go Live,Breakfast,"Saturday, February 05, 2022",[],Fluffy omelet with your choice of toppings ,1 SV,742.19,66.36,7.27,31.16,Egg/Mushroom/Dairy/Alcohol/Tree Nuts,
378,Breakfast Bar,Go Live,Breakfast,"Saturday, February 05, 2022",[],"Belgian Waffle, Fries Wedges Spicy, Chicken Sausage Patty,Scrambled Eggs.",3 oz,685.82,58.42,4,36.51,All Major Allergens ,
379,"Scrambled Egg Whites, Tofu Scramble and Egg Fried to Order",Go Live,Breakfast,"Saturday, February 05, 2022",[],,3 oz,177.55,12.48,14.94,1.4,All Major Allergens,"Potato wedges (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, paprika oleoresin, turmeric oleoresin, degermed yellow corn meal, dextrose, modified food starch, garlic powder, onion powder, rice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, house-made seasoned salt (iodized salt, onion powder, granulated garlic, beet sugar, ground white pepper, ground paprika)"
380,House Roasted Salsa,Go Live,Breakfast,"Saturday, February 05, 2022","['Vegan', 'Halal', 'Nourish']","Spicy chili peppers and Russell Ranch tomatoes roasted with garlic and onion, garnished with fresh cilantro",2 tbsp,10.15,0.4,1.6,0.32,,"Green Jalapeno pepper, yellow onion, Russel Ranch tomatoes, red Fresno peppers, Habanero peppers, fresh cilantro, garlic, canola oil, iodized salt"
381,Eggs Fried to Order,Go Live,Breakfast,"Saturday, February 05, 2022","['Vegetarian', 'Halal', 'Nourish']","Consuming raw or undercooked eggs may increase risk of foodborne illness, especially for those with certain medical conditions",each,71.5,4.75,0.36,6.28,Egg,Eggs
382,Vanilla Chia Seed Pudding with Blueberrries,Fresh Inspirations,Breakfast,"Saturday, February 05, 2022","['Vegan', 'Halal']","Vanilla chia seed pudding with blueberries, shredded coconut, and toasted almonds",1 SV,448.79,41.51,20.46,5.24,Tree Nuts/Coconut,"Coconut milk, chia seeds, beet sugar, imitation vanilla, blueberries, shredded sweetened coconut, blanched slivered almonds"
