,Name,Filters,Date,Mealtime,Location,Serving Size,Calories,Fat (g),Carbohydrates (g),Protein (g),Description,Allergens,Ingredients
385,Housemade Granola,"['Vegetarian', 'Halal', 'Nourish']","Friday, February 18, 2022",Breakfast,Fresh Inspirations, 1/2 cup, 360.18, 17.33, 47.13, 8.03,Crunchy and sweet granola made with mixed nuts and old fashioned rolled oats,Gluten/Wheat/Dairy/Peanuts/Tree Nuts,"Old fashioned rolled oats (per manufacturer, may contain wheat/gluten), sunflower seeds, seedless raisins, unsalted butter, pure clover honey, peanut-free mixed nuts (cashews, almonds, sunflower oil and/or cottonseed oil, pecans, hazelnuts, dried Brazil nuts, salt), light brown beet sugar, molasses"
386,Fruit Salad,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Breakfast,Fresh Inspirations,  1/2 Cup, 42.3, 0.64, 9.79, 0.49,A delicious and nutritious blend of fresh fruit!,,"Cantaloupe, pineapple, red grapes, honeydew melon"
387,Steel Cut Oats,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Breakfast,Fresh Inspirations, 1 cup, 123.64, 2.22, 20.98, 5.25,Creamy steel cut oats (contains traces of wheat/gluten),Gluten/Wheat,"Steel-cut oats (per manufacturer, contains traces of gluten. Processed on equipment that also processes wheat/gluten, dairy, egg, soy, and sesame. Produced in a facility that also processes tree nuts), ground cinnamon, kosher salt"
388,Hard Boiled Eggs,"['Vegetarian', 'Halal', 'Nourish']","Friday, February 18, 2022",Breakfast,Fresh Inspirations, 1 each, 71.5, 4.76, 0.36, 6.28,"Cage-free, hard boiled eggs",Egg,Cage free eggs
389,Sticky Rice,"['Vegan', 'Halal']","Friday, February 18, 2022",Breakfast,Fresh Inspirations, 1/2 cup (3 oz), 161.7, 0.26, 35.64, 2.97,Steamed white calrose rice,,"White rice, water"
390,Mini Everything Bagel,"['Vegan', 'Halal']","Friday, February 18, 2022",Breakfast,Harvest Bakery, 1 bagel, 359.99, 4.5, 68, 12.99,"Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",Gluten/Sesame/Soybean Oil/Wheat,"Enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, brown sugar, malt (corn syrup, malt syrup), salt, enzyme (wheat flour, enzymes, ascorbic acid), yeast (yeast, sorbitan monostearate, ascorbic acid), dough improver (wheat flour, monoglycerides, ascorbic acid. Contains 2% or less of enzymes, soybean oil), vinegar, poppy seeds, sesame seeds, sunflower seeds. Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
391,Double Chocolate Muffin,"['Vegetarian', 'Halal']","Friday, February 18, 2022",Breakfast,Harvest Bakery, each, 440, 25, 53, 5,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"Sugar, enriched bleached wheat flour, cocoa, modified food starch, vegetable shortening (with soybean oil), nonfat dry milk, leavening, cornstarch, salt, artificial flavor, xanthan gum, guar gum, locust bean gum, egg whites, eggs, soybean oil, water, semisweet chocolate, soy lecithin, potassium sorbate. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
392,Maple Donut,['Vegetarian'],"Friday, February 18, 2022",Breakfast,Harvest Bakery, each, 290, 8, 53, 3,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",Alcohol/Dairy/Egg/Gluten/Soy/Wheat,"Bleached enriched wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sugar, soybean oil, dextrose, dried whey, nonfat dry milk, dried egg yolks, leavening, salt, defatted soy flour, potato flour, mono- and diglycerides, spice, guar gum, natural and artificial flavors, yellow 5 Lake, yellow 6 Lake, water, icing, palm oil, maple extract (alcohol, sugar, maple syrup, caramel color, water). Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
393,Cinnamon Sugar Donut,"['Vegan', 'Halal']","Friday, February 18, 2022",Breakfast,Harvest Bakery, each, 380, 21, 44, 4,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",Gluten/Soy/Soybean Oil/Wheat,"Donut ingredients: Unbleached enriched wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sugar, soybean oil, defatted soy flour, leavening, isolated soy protein, dextrose, wheat starch, alt, natural flavor, cellulose gum, emulsifier, spice, beta carotene, water, palm oil. Topping ingredients: sugar, cinnamon. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
394,Beef Fajitas,[],"Friday, February 18, 2022",Lunch,Tomato Street Grill, 1 SV, 769.09, 40.43, 54.25, 51.12,"Beef fajitas sauteed with onions and peppers, seasoned with house-made Carne Asada marinade and served on flour tortillas.",Gluten/Soybean Oil/Wheat,"Carne Asada beef (beef, house marinade [orange juice, lime juice, canola oil, garlic, Chipotle Adobo pepper sauce {water, tomato paste, dried Chipotle peppers, distilled vinegar, corn oil. Contains 2% or less of iodized salt, corn starch, onion powder, garlic powder, spices}, dark chili powder, fresh cilantro, paprika, garlic powder, ground cumin, ground coriander, kosher salt, ground black pepper), flour tortilla (enriched bleached flour [flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], water, vegetable shortening [interesterified and hydrogenated soybean oils]. Contains 2% or less of salt, baking soda, sodium acid pyrophosphate, distilled monoglycerides, enzymes, cellulose gum, fumaric acid, and calcium propionate, sorbic acid), red and green bell peppers, yellow onion, canola oil, garlic"
395,Mexican Rice,"['Vegan', 'Halal']","Friday, February 18, 2022",Lunch,Tomato Street Grill, 1/2 cup (3.5 oz), 94.82, 2.44, 16.45, 1.49,"Long grain rice cooked with tomatoes, onions, carrots, corn, and peppers.",,"Gluten-free vegetable broth (vegetables [onions, celery, carrots], maltodextrin, sugar, autolyzed yeast extract, onion powder, salt, water, corn oil, potassium chloride, carrot powder, modified tapioca starch, carrot juice concentrate, tomato paste, garlic powder, disodium guanylate, disodium inosinate, natural flavor, potassium sorbate, citric acid, extractives of paprika), long grain white rice, tomato, yellow onion, carrot, corn, green bell pepper, canola oil, Achiote paste (Annatto seeds, vinegar, salt, water, granulated garlic, spices, sodium benzoate, corn meal, corn flour, FD&C #40), celery, garlic powder, iodized salt, ground black pepper"
396,Vegetarian Refried Beans,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Lunch,Tomato Street Grill, 3.5 oz, 80.59, 0.06, 16.88, 5.62,Pinto beans simmered and mashed with garlic and spices,,"Pinto beans (prepared pinto beans, water, salt, calcium chloride, calcium disodium EDTA), garlic, ground cumin, kosher salt"
397,Moo Shu Pork,[],"Friday, February 18, 2022",Lunch,Tomato Street Grill, serving, 417.27, 16.85, 53.64, 25.65,"Julienne pork with lightly carrots, cabbage, mushroom and onions. Served in a crepe with our house Moo-Shu sauce",Egg/Gluten/Soy/Soybean Oil/Wheat/Sesame/Shellfish/Mushroom,"Pork, house Moo Shu sauce (Honey, balsamic vinegar, oyster sauce [contains shellfish]), red and green cabbage, crepe (contains wheat/gluten, soy, and egg), Woodear mushrooms, carrots, cornstarch, Balsamic vinegar, Kikkoman soy sauce (water, soybeans, wheat, salt, sodium benzoate), Asian chili oil (contains soybean oil), yellow onion, pure sesame oil, garlic, green onions, white sesame seeds, ginger, iodized salt, ground white pepper"
398,Fresh Aggie Bar,[],"Friday, February 18, 2022",Lunch,Fresh Inspirations, 1 SV, -1, -1, -1, -1,"BYO bowl Aggie style with choice of protein, veggies and sauces",, 
399,CHEF CHOICE PROTEIN,[],"Friday, February 18, 2022",Lunch,Fresh Inspirations, 1 EA, -1, -1, -1, -1,,,
400,CHEF CHOICE PROTEIN,[],"Friday, February 18, 2022",Lunch,Fresh Inspirations, 1 EA, -1, -1, -1, -1,,,
401,Cauliflower Rice,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Lunch,Fresh Inspirations, 3 oz, 65.88, 5.19, 4.7, 1.82,Lightly seasoned cauliflower rice,,"Cauliflower, canola/olive oil blend, kosher salt"
402,Steamed White Rice,"['Vegan', 'Halal']","Friday, February 18, 2022",Lunch,Fresh Inspirations, 3 oz, 138.54, 0, 30.97, 3.26,Steamed white rice,,"Long grain rice (enriched with iron, niacin, thiamin, folic acid)"
403,Roasted Broccoli,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Lunch,Fresh Inspirations, 3 oz, 58.21, 4.02, 5.12, 2.16,Broccoli lightly seasoned and roasted,,"Broccoli, canola/olive oil blend, kosher salt, ground black pepper"
404,Sauteed Garlic Green Beans,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Lunch,Fresh Inspirations,  3 oz, 49.27, 2.81, 6.02, 1.55,Fresh green beans sauteed with garlic and lightly seasoned,,"Green beans, canola/olive oil blend, garlic, kosher salt, ground black pepper"
405,Roasted Butternut Squash,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Lunch,Fresh Inspirations, 3 oz, 74.19, 4.24, 10.02, 0.86,Butternut squash lightly seasoned and roasted,,"Butternut squash, canola/olive oil blend, kosher salt, ground black pepper"
406,Roasted Brussels Sprouts,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Lunch,Fresh Inspirations,  3 oz, 68.43, 4.17, 7.26, 2.73,Brussels sprouts roasted and lightly seasoned,,"Brussels sprouts, canola/olive oil blend, kosher salt, ground black pepper"
407,Sauteed Yellow Squash,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Lunch,Fresh Inspirations, 3 oz, 33.1, 2.48, 2.76, 0.71,Fresh yellow squash sauteed and lightly seasoned,,"Yellow squash, canola/olive oil blend, kosher salt, ground black pepper"
408,Chimmichurri Sauce,"['Vegan', 'Nourish']","Friday, February 18, 2022",Lunch,Fresh Inspirations, 2 tablespoons, 127.91, 14.43, 0.82, 0.36,"An herby sauce with cilantro, parsley, garlic, and oregano to complement your dish",,"Canola/olive oil blend, fresh Italian parsley, fresh cilantro, red wine vinegar, garlic, Mediterranean oregano, crushed red pepper"
409,Mango Vinaigrette,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Lunch,Fresh Inspirations, 2 tablespoons, 120.23, 13.03, 2.31, 0.11,Sweet and tangy vinaigrette to complement your dish,,"Canola/olive oil blend, mango, lime juice, rice vinegar, agave nectar, kosher salt, crushed red pepper"
410,Tomatillo and Avocado Salsa,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Lunch,Fresh Inspirations, 2 tablespoons, 48.13, 4.83, 1.67, 0.34,House tomatillo & avocado salsa,,"Tomatillos, avocado, canola/olive oil blend, fresh cilantro, kosher salt"
411,Romaine Lettuce,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Lunch,Fresh Inspirations, 1 cup, 7.99, 0.14, 1.55, 0.58,,,Fresh Romaine lettuce
412,Chia Seeds,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Lunch,Fresh Inspirations, 2 tablespoons, 137.73, 8.71, 11.94, 4.69,,,Organic chia seeds
413,Philly Cheesesteak,[],"Friday, February 18, 2022",Lunch,Tomato Street Grill, sandwich, 462.83, 33.74, 19.41, 21.9,"Philly cheesesteak with mayonnaise, provolone cheese, onions, and mushrooms",Egg/Gluten/Soybean Oil/Wheat/Dairy/Mushroom,"Beef Steak, Brioche Hot Dog Bun, Mayonnaise, Provolone Cheese, Mayonnaise, Mushroom, Yellow Onion, Canola Oil"
414,Buffalo Chickpea Burger,"['Vegan', 'Halal']","Friday, February 18, 2022",Lunch,Tomato Street Grill, 1 SV, 833.53, 20.05, 139.53, 27.86,House-made buffalo chickpea patty on a sesame bun,Gluten/Sesame/Soybean Oil/Wheat,"House-made buffalo chickpea patty (garbanzo beans, quinoa, carrots, Frank`s Red Hot Cayenne pepper sauce [aged Cayenne red peppers, vinegar, water, salt, garlic powder], red bell pepper, thickener [modified cornstarch, rice flour, corn oil. Made on equipment that also processes soy, wheat, and milk], Ener-G egg replacer [potato starch, tapioca flour, non-dairy calcium lactate, calcium carbonate, citric acid, carbohydrate gum], green onions, canola/olive oil blend, onion powder, garlic powder, iodized salt, Mediterranean oregano, ground white pepper), sesame hamburger bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, yeast nutrient [ammonium sulfate], dough conditioners [mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide], calcium sulfate, enzymes, calcium propionate, sesame seeds), canola/olive oil blend"
415,Shoestring Fries,"['Vegan', 'Halal']","Friday, February 18, 2022",Lunch,Tomato Street Grill, 3 oz, 201.6, 12, 21.13, 1.84,Crispy deep-fried thin cut potato fries,Soybean Oil/*Ingredient prepared in a fryer that`s not allergen-free,"Shoestring fries (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], modified food starch. Contains less than 2% of dextrose, leavening [sodium acid pyrophosphate, sodium bicarbonate], rice flour, salt, xanthan gum, disodium, dihydrogen pyrophosphate), canola fryer oil, seasoned salt (salt, onion powder, granulated garlic, ground paprika, sugar, white ground pepper)"
416,New England Clam Chowder,[],"Friday, February 18, 2022",Lunch,Fresh Inspirations, 1 cup, 193.73, 9.54, 16.65, 8,House-made clam chowder with bits of bacon,Soybean Oil/Dairy/Shellfish/Gluten/Wheat/Soy,"Reduced fat milk, clam juice (ocean clam juice, salt), hash brown potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], contains less than 2% of dextrose, maltodextrin, sea salt, tetrasodium pyrophosphate, disodium dihydrogen pyrophosphate), clams, heavy whipping cream, celery, unbleached hi-gluten flour, cornstarch, clam soup base (cooked clams, clam broth, salt, maltodextrin flavor [yeast extract, corn syrup solids, salt, citric acid], butter, sugar, dehydrated potato [potatoes, mono- and diglycerides, sodium acid pyrophosphate, citric acid], sodium phosphate, onion powder, disodium inonsinate, disodium guanylate, cod liver oil, flavoring), yellow onion, bacon, canola oil, Worcestershire sauce (water, molasses, salt, high fructose corn syrup, corn syrup, acetic acid, caramel color, hydrolyzed soy protein, gluten free flour [millet flour, potato starch, tapioca starch, rice flour, whole grain sorghum, xanthan gum], natural flavor, guar gum, sodium benzoate), Tabasco sauce (distilled vinegar, red pepper, salt), garlic, dill, ground black pepper, thyme, tarragon"
417,Minestrone Soup with Pasta,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Lunch,Fresh Inspirations, 1 cup, 54.23, 0.09, 9.23, 1.82,"A hearty tomato-based broth with a medley of vegetables, beans, and elbow macaroni.",Gluten/Wheat/Mushroom,"House Minestrone soup (garbanzo beans, tomato, white beans, green cabbage, gluten-free vegetable soup base (reconstituted vegetable juice blend [water and concentrated juices of carrot, celery, tomato), corn starch, green beans, celery, yellow onion, broccoli, tomato paste, canola oil, iodized salt, ground black pepper, parsley, beet sugar, garlic), elbow macaroni (semolina flour, durum wheat flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid. Prepared with canola oil)"
418,Turkey Bean Chili,['Nourish'],"Friday, February 18, 2022",Lunch,Fresh Inspirations, 1 cup, 74.2, 0.59, 11.21, 2.99,"Turkey chili made with black beans, white beans, and spices",,"Ground turkey, tomato, black beans, white beans, turkey breast, yellow onion, white corn masa flour, Jalapeno pepper, canola oil, cornstarch, dark chili powder, salt, gluten-free chicken soup base (chicken broth, salt, sugar, yeast extract, chicken fat, modified corn starch, citric acid, natural flavor), paprika, cumin, cayenne pepper, garlic, ground bay leaf"
419,Roasted Butternut Squash and Amaranth Salad,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Lunch,Fresh Inspirations, 1/2 cup, 93.34, 5.52, 10.44, 1.86,,,"Butternut squash, organic gluten-free amaranth, kale, tomato, canola/olive oil blend, rice vinegar, red onion, fresh basil, garlic, beet sugar, iodized salt, ground white pepper"
420,Red Skin Potato Salad with Eggs,"['Vegetarian', 'Halal']","Friday, February 18, 2022",Lunch,Fresh Inspirations,  1/2 cup, 230.01, 13.01, 24, 3,,Egg/Soybean Oil,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum"
421,Classic California Pasta Salad,"['Vegan', 'Halal']","Friday, February 18, 2022",Lunch,Fresh Inspirations, 1 serving, 140, 4, 22, 4,,Gluten/Soybean Oil/Wheat,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder"
422,CHEF CHOICE SALAD,[],"Friday, February 18, 2022",Lunch,Fresh Inspirations, 1 EA, -1, -1, -1, -1,,,
423,Caesar Salad,['Halal'],"Friday, February 18, 2022",Lunch,Fresh Inspirations, 1 SV, 501.86, 41.48, 23.93, 15.54,"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing",Dairy/Gluten/Soybean Oil/Tree Nuts/Wheat/Egg/Fish/Soy,"Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)"
424,Deli Bar,[],"Friday, February 18, 2022",Lunch,Saucey, 1 EA, -1, -1, -1, -1,"Assorted Meats and Cheeses with your favorite spreads, breads and veggies",,
425,Raspberry Swirl Cheese Cake Bars,['Vegetarian'],"Friday, February 18, 2022",Lunch,Harvest Bakery, 1 SV, 312, 20.8, 26.4, 4,"Produced in a facility that also uses wheat, dairy, eggs, tree nuts, peanuts, soybeans, and fish",Alcohol [vanilla extract]/Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"RASPBERRY SWIRL CHEESECAKE BAR (Cream cheese [pasteurized cultured milk and cream, salt, stabilizers {xanthan and/or carob bean and/or guar gums}], pure cane sugar, eggs, sour cream [cultured cream. Contains less than 2% of whey, modified corn starch, sodium tripolyphosphate, guar gum, carrageenan, calcium sulfate, locust bean gum, potassium sorbate], vanilla extract, crumbs [graham cracker flour, enriched wheat flour {wheat flour, enriched with niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid}, sugar, corn flour, palm oil, corn syrup, molasses, whey, honey, leavening {sodium bicarbonate, sodium acid pyrophosphate, corn starch}, salt, artificial color {yellow 5 and yellow 6}, natural flavor, soy lecithin], butter [pasteurized cream, natural flavors], raspberry filling [water, high fructose corn syrup, red raspberries, sugar, modified corn starch. Contains 2% or less of citric acid, natural flavor, lemon juice, potassium sorbate, salt, FD&C red #40]. Produced in a facility that also uses wheat, dairy, eggs, tree nuts, peanuts, soybeans, and fish)"
426,Chocolate Chunk Cookie,"['Vegetarian', 'Halal']","Friday, February 18, 2022",Lunch,Harvest Bakery, each, 190, 12, 34, 2,"Made in a facility that also processes peanuts and tree nuts (almonds, coconut, macadamia nuts, pecans, walnuts)",Dairy/Egg/Gluten/Soy/Wheat,"Enriched bleached flour (bleached wheat flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), semi-sweet chocolate chunks (sugar, unsweetened chocolate, cocoa butter, dextrose, soy lecithin, natural flavors), margarine (palm oil, water, contains 2% of less of salt, mono- and diglycerides, natural flavor [includes milk], citric acid, vitamin A palmitate, beta carotene), sugar, invert sugar, eggs, corn syrup, contains 2% or  less of butter (cream [milk], salt), whey, modified corn starch, chicory root fiber, natural and artificial flavor, molasses, baking soda, salt"
427,Vegan Oatmeal Raisin Cookie,['Vegan'],"Friday, February 18, 2022",Lunch,Harvest Bakery, 1 cookie, 177, 6.1, 41, 3,,Alcohol [vanilla extract]/Gluten/Wheat,"Oatmeal, organic evaporated cane sugar, California raisins, unbleached wheat flour, sustainable RSPO palm oil shortening, grape juice, rice dextrins, pure vanilla extract, cinnamon, sea salt, baking soda"
428,Seared Swai Fish,"['Halal', 'Nourish']","Friday, February 18, 2022",Dinner,Seasonality West, 3.5 oz, 193.26, 14.45, 1.45, 14.95,"Seared salmon filets prepared simply with lemon, and seasoned with salt and pepper.",Fish,"Salmon, lemon juice, canola/olive oil blend, fresh Italian parsley, kosher salt, ground black pepper"
429,Creamy Polenta,"['Vegetarian', 'Halal']","Friday, February 18, 2022",Dinner,Seasonality West, 1/2 cup, 174.91, 12.97, 7.51, 4.55,Cornmeal made with heavy cream and sprinkled with Parmesan cheese,Dairy,"Heavy whipping cream (heavy cream. Contains less than 1% of carrageenan), Parmesan cheese (pasteurized milk, cheese cultures, salt, enzymes), yellow cornmeal (polenta), gluten-free vegetable soup base (vegetables [onions, celery, carrots], maltodextrin, sugar, autolyzed yeast extract, onion powder, salt, water, corn oil, potassium chloride, carrot powder, modified tapioca starch, carrot juice concentrate, tomato paste, garlic powder, disodium guanylate, disodium inosinate, natural flavor, potassium sorbate, citric acid, extractives of paprika), iodized salt"
430,Steamed Fresh Garlic Green Beans,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Dinner,Seasonality West, 1/2 cup, 31, 0.22, 6.97, 1.83,Freshly steamed green beans,,Green beans
431,Teriyaki Tofu,"['Vegan', 'Halal']","Friday, February 18, 2022",Dinner,Tomato Street Grill, 4 oz, 123.16, 7.51, 9.55, 4.71,Crispy tofu drizzled in our house lower-sodium Teriyaki sauce,*Ingredient prepared in a fryer that`s not allergen-free/Sesame/Gluten/Soy/Wheat,"Firm tofu, house low-sodium Teriyaki sauce (less-sodium soy sauce [water, wheat, soybeans, salt, lactic acid, sodium benzoate], beet sugar, light brown beet sugar, pineapple juice [pineapple juice, vitamin C], rice vinegar, corn starch, ketchup [tomato concentrate made from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring], ginger, garlic, pure sesame oil), canola oil, corn starch, fresh Italian parsley"
432,Steamed Bok Choy,"['Vegan', 'Halal']","Friday, February 18, 2022",Dinner,Tomato Street Grill, N/A, N/A, N/A, N/A, N/A,Steamed Bok Choy,"Soybean Oil, Sesame",
433,Bell Peppers and Oinions,"['Vegan', 'Nourish']","Friday, February 18, 2022",Dinner,Tomato Street Grill, N/A, N/A, N/A, N/A, N/A,Bell Peppers and Onions,No Major allergens,
434,Sticky Rice,"['Vegan', 'Halal']","Friday, February 18, 2022",Dinner,Seasonality East, 1/2 cup (3 oz), 161.7, 0.26, 35.64, 2.97,Steamed white calrose rice,,"White rice, water"
435,Fresh Aggie Bar,[],"Friday, February 18, 2022",Dinner,Fresh Inspirations, 1 SV, -1, -1, -1, -1,"BYO bowl Aggie style with choice of protein, veggies and sauces",, 
436,CHEF CHOICE PROTEIN,[],"Friday, February 18, 2022",Dinner,Fresh Inspirations, 1 EA, -1, -1, -1, -1,,,
437,CHEF CHOICE PROTEIN,[],"Friday, February 18, 2022",Dinner,Fresh Inspirations, 1 EA, -1, -1, -1, -1,,,
438,Cauliflower Rice,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Dinner,Fresh Inspirations, 3 oz, 65.88, 5.19, 4.7, 1.82,Lightly seasoned cauliflower rice,,"Cauliflower, canola/olive oil blend, kosher salt"
439,Steamed White Rice,"['Vegan', 'Halal']","Friday, February 18, 2022",Dinner,Fresh Inspirations, 3 oz, 138.54, 0, 30.97, 3.26,Steamed white rice,,"Long grain rice (enriched with iron, niacin, thiamin, folic acid)"
440,Roasted Broccoli,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Dinner,Fresh Inspirations, 3 oz, 58.21, 4.02, 5.12, 2.16,Broccoli lightly seasoned and roasted,,"Broccoli, canola/olive oil blend, kosher salt, ground black pepper"
441,Sauteed Garlic Green Beans,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Dinner,Fresh Inspirations,  3 oz, 49.27, 2.81, 6.02, 1.55,Fresh green beans sauteed with garlic and lightly seasoned,,"Green beans, canola/olive oil blend, garlic, kosher salt, ground black pepper"
442,Roasted Butternut Squash,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Dinner,Fresh Inspirations, 3 oz, 74.19, 4.24, 10.02, 0.86,Butternut squash lightly seasoned and roasted,,"Butternut squash, canola/olive oil blend, kosher salt, ground black pepper"
443,Roasted Brussels Sprouts,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Dinner,Fresh Inspirations,  3 oz, 68.43, 4.17, 7.26, 2.73,Brussels sprouts roasted and lightly seasoned,,"Brussels sprouts, canola/olive oil blend, kosher salt, ground black pepper"
444,Sauteed Yellow Squash,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Dinner,Fresh Inspirations, 3 oz, 33.1, 2.48, 2.76, 0.71,Fresh yellow squash sauteed and lightly seasoned,,"Yellow squash, canola/olive oil blend, kosher salt, ground black pepper"
445,Chimmichurri Sauce,"['Vegan', 'Nourish']","Friday, February 18, 2022",Dinner,Fresh Inspirations, 2 tablespoons, 127.91, 14.43, 0.82, 0.36,"An herby sauce with cilantro, parsley, garlic, and oregano to complement your dish",,"Canola/olive oil blend, fresh Italian parsley, fresh cilantro, red wine vinegar, garlic, Mediterranean oregano, crushed red pepper"
446,Mango Vinaigrette,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Dinner,Fresh Inspirations, 2 tablespoons, 120.23, 13.03, 2.31, 0.11,Sweet and tangy vinaigrette to complement your dish,,"Canola/olive oil blend, mango, lime juice, rice vinegar, agave nectar, kosher salt, crushed red pepper"
447,Tomatillo and Avocado Salsa,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Dinner,Fresh Inspirations, 2 tablespoons, 48.13, 4.83, 1.67, 0.34,House tomatillo & avocado salsa,,"Tomatillos, avocado, canola/olive oil blend, fresh cilantro, kosher salt"
